City,Temperature (°C),Humidity (%),Wind Speed (m/s),Condition
Mumbai,31.99,29,3.09,Smoke
Pune,28.35,15,2.45,Clear sky
Delhi,20.05,52,2.06,Haze
Jaipur,24.62,23,1.54,Haze
